biosample_class	sample	experiment	doc_count
cell line	SJCRH30	Hi-C	1
cell line	SJCRH30	RAMPAGE	1
cell line	SJCRH30	genotyping array	1
cell line	SJCRH30	total RNA-seq	1
cell line	HT1080	RAMPAGE	3
cell line	HT1080	Switchgear	2
cell line	HT1080	polyA plus RNA-seq	2
cell line	HT1080	DNAme array	1
cell line	HT1080	DNase-seq	1
cell line	HT1080	genotyping array	1
cell line	HT1080	small RNA-seq	1
cell line	HT1080	total RNA-seq	1
cell line	ML-DmD17-c3	polyA plus RNA-seq	6
cell line	ML-DmD17-c3	total RNA-seq	6
cell line	NB4	TF ChIP-seq	4
cell line	NB4	genotyping array	2
cell line	NB4	ChIA-PET	1
cell line	NB4	DNAme array	1
cell line	NB4	DNase-seq	1
cell line	NB4	Histone ChIP-seq	1
cell line	NB4	RNA microarray	1
cell line	NB4	RRBS	1
cell line	PFSK-1	TF ChIP-seq	6
cell line	PFSK-1	DNAme array	2
cell line	PFSK-1	genotyping array	2
cell line	PFSK-1	RRBS	1
cell line	PFSK-1	polyA plus RNA-seq	1
cell line	SJSA1	Histone ChIP-seq	6
cell line	SJSA1	DNase-seq	2
cell line	SJSA1	DNAme array	1
cell line	SJSA1	RAMPAGE	1
cell line	SJSA1	genotyping array	1
cell line	SJSA1	total RNA-seq	1
cell line	SK-MEL-5	RAMPAGE	3
cell line	SK-MEL-5	polyA plus RNA-seq	2
cell line	SK-MEL-5	small RNA-seq	2
cell line	SK-MEL-5	DNAme array	1
cell line	SK-MEL-5	DNase-seq	1
cell line	SK-MEL-5	Hi-C	1
cell line	SK-MEL-5	genotyping array	1
cell line	SK-MEL-5	total RNA-seq	1
cell line	ES-Bruce4	Histone ChIP-seq	7
cell line	ES-Bruce4	TF ChIP-seq	3
cell line	ES-Bruce4	polyA plus RNA-seq	1
cell line	KMS-11	Histone ChIP-seq	10
cell line	KMS-11	TF ChIP-seq	1
cell line	S2R+	small RNA-seq	6
cell line	S2R+	polyA plus RNA-seq	3
cell line	S2R+	PAS-seq	1
cell line	S2R+	total RNA-seq	1
cell line	AG04449	ChIA-PET	2
cell line	AG04449	DNAme array	2
cell line	AG04449	DNase-seq	1
cell line	AG04449	Histone ChIP-seq	1
cell line	AG04449	RNA microarray	1
cell line	AG04449	RRBS	1
cell line	AG04449	TF ChIP-seq	1
cell line	AG04449	genotyping array	1
cell line	AG09319	DNAme array	3
cell line	AG09319	genotyping array	2
cell line	AG09319	DNase-seq	1
cell line	AG09319	Histone ChIP-seq	1
cell line	AG09319	RNA microarray	1
cell line	AG09319	RRBS	1
cell line	AG09319	TF ChIP-seq	1
cell line	CME-W1-Cl.8+	small RNA-seq	8
cell line	CME-W1-Cl.8+	polyA plus RNA-seq	1
cell line	CME-W1-Cl.8+	total RNA-seq	1
cell line	GM19239	ChIA-PET	5
cell line	GM19239	DNAme array	1
cell line	GM19239	DNase-seq	1
cell line	GM19239	FAIRE-seq	1
cell line	GM19239	RRBS	1
cell line	GM19239	genotyping array	1
cell line	HUES64	Histone ChIP-seq	7
cell line	HUES64	polyA plus RNA-seq	2
cell line	HUES64	WGBS	1
cell line	WERI-Rb-1	Histone ChIP-seq	6
cell line	WERI-Rb-1	DNase-seq	2
cell line	WERI-Rb-1	RNA microarray	1
cell line	WERI-Rb-1	TF ChIP-seq	1
cell line	A673	Histone ChIP-seq	6
cell line	A673	TF ChIP-seq	2
cell line	A673	DNase-seq	1
cell line	HAP-1	Histone ChIP-seq	6
cell line	HAP-1	DNase-seq	2
cell line	HAP-1	Hi-C	1
cell line	RWPE2	Histone ChIP-seq	6
cell line	RWPE2	ATAC-seq	1
cell line	RWPE2	DNase-seq	1
cell line	RWPE2	TF ChIP-seq	1
cell line	SK-N-DZ	RAMPAGE	2
cell line	SK-N-DZ	polyA plus RNA-seq	2
cell line	SK-N-DZ	small RNA-seq	2
cell line	SK-N-DZ	DNAme array	1
cell line	SK-N-DZ	DNase-seq	1
cell line	SK-N-DZ	genotyping array	1
cell line	T47D	DNase-seq	2
cell line	T47D	Repli-seq	2
cell line	T47D	Hi-C	1
cell line	T47D	RRBS	1
cell line	T47D	TF ChIP-seq	1
cell line	T47D	WGS	1
cell line	T47D	genotyping array	1
cell line	AG09309	DNAme array	2
cell line	AG09309	DNase-seq	1
cell line	AG09309	Histone ChIP-seq	1
cell line	AG09309	RNA microarray	1
cell line	AG09309	RRBS	1
cell line	AG09309	TF ChIP-seq	1
cell line	AG09309	genotyping array	1
cell line	AG10803	DNAme array	2
cell line	AG10803	DNase-seq	1
cell line	AG10803	Histone ChIP-seq	1
cell line	AG10803	RNA microarray	1
cell line	AG10803	RRBS	1
cell line	AG10803	TF ChIP-seq	1
cell line	AG10803	genotyping array	1
cell line	CMK	DNAme array	3
cell line	CMK	genotyping array	2
cell line	CMK	DNase-seq	1
cell line	CMK	RNA microarray	1
cell line	CMK	RRBS	1
cell line	Caki2	Repli-seq	2
cell line	Caki2	DNAme array	1
cell line	Caki2	DNase-seq	1
cell line	Caki2	Hi-C	1
cell line	Caki2	WGS	1
cell line	Caki2	genotyping array	1
cell line	Caki2	total RNA-seq	1
cell line	E14TG2a.4	Histone ChIP-seq	5
cell line	E14TG2a.4	TF ChIP-seq	3
cell line	F121-9	long read RNA-seq	7
cell line	F121-9	total RNA-seq	1
cell line	Jurkat, Clone E6-1	ChIA-PET	1
cell line	Jurkat, Clone E6-1	DNAme array	1
cell line	Jurkat, Clone E6-1	DNase-seq	1
cell line	Jurkat, Clone E6-1	Histone ChIP-seq	1
cell line	Jurkat, Clone E6-1	RNA microarray	1
cell line	Jurkat, Clone E6-1	RRBS	1
cell line	Jurkat, Clone E6-1	genotyping array	1
cell line	Jurkat, Clone E6-1	polyA plus RNA-seq	1
cell line	MCF 10A	ChIA-PET	2
cell line	MCF 10A	DNAme array	2
cell line	MCF 10A	genotyping array	2
cell line	MCF 10A	DNase-seq	1
cell line	MCF 10A	RRBS	1
cell line	MG63	Histone ChIP-seq	4
cell line	MG63	DNase-seq	2
cell line	MG63	genotyping array	1
cell line	MG63	total RNA-seq	1
cell line	UCSF-4	Histone ChIP-seq	6
cell line	UCSF-4	microRNA-seq	1
cell line	UCSF-4	polyA plus RNA-seq	1
cell line	iPS DF 19.11	Histone ChIP-seq	6
cell line	iPS DF 19.11	DNase-seq	1
cell line	iPS DF 19.11	WGBS	1
cell line	iPS DF 6.9	Histone ChIP-seq	6
cell line	iPS DF 6.9	DNase-seq	1
cell line	iPS DF 6.9	WGBS	1
cell line	ACC112	Histone ChIP-seq	7
cell line	BG02	Repli-seq	6
cell line	BG02	Repli-chip	1
cell line	G401	Repli-seq	2
cell line	G401	DNAme array	1
cell line	G401	DNase-seq	1
cell line	G401	Hi-C	1
cell line	G401	genotyping array	1
cell line	G401	total RNA-seq	1
cell line	GM12801	Repli-seq	6
cell line	GM12801	TF ChIP-seq	1
cell line	GM19240	ChIA-PET	5
cell line	GM19240	DNase-seq	1
cell line	GM19240	RRBS	1
cell line	HUES48	Histone ChIP-seq	7
cell line	HUES6	Histone ChIP-seq	7
cell line	Patski	polyA plus RNA-seq	2
cell line	Patski	ATAC-seq	1
cell line	Patski	DNase-seq	1
cell line	Patski	Hi-C	1
cell line	Patski	Histone ChIP-seq	1
cell line	Patski	TF ChIP-seq	1
cell line	iPS-18a	Histone ChIP-seq	7
cell line	iPS-20b	Histone ChIP-seq	7
cell line	GM12812	Repli-seq	6
cell line	GM12813	Repli-seq	6
cell line	RPMI7951	DNAme array	1
cell line	RPMI7951	DNase-seq	1
cell line	RPMI7951	Hi-C	1
cell line	RPMI7951	RAMPAGE	1
cell line	RPMI7951	genotyping array	1
cell line	RPMI7951	total RNA-seq	1
cell line	U-87 MG	DNAme array	2
cell line	U-87 MG	genotyping array	2
cell line	U-87 MG	RRBS	1
cell line	U-87 MG	polyA plus RNA-seq	1
cell line	iPS-15b	Histone ChIP-seq	6
cell line	A172	DNAme array	1
cell line	A172	DNase-seq	1
cell line	A172	RAMPAGE	1
cell line	A172	genotyping array	1
cell line	A172	total RNA-seq	1
cell line	Daoy	DNAme array	1
cell line	Daoy	DNase-seq	1
cell line	Daoy	RAMPAGE	1
cell line	Daoy	genotyping array	1
cell line	Daoy	total RNA-seq	1
cell line	GM19238	ChIA-PET	4
cell line	GM19238	DNase-seq	1
cell line	H4	DNAme array	1
cell line	H4	DNase-seq	1
cell line	H4	RAMPAGE	1
cell line	H4	genotyping array	1
cell line	H4	total RNA-seq	1
cell line	M059J	DNAme array	1
cell line	M059J	DNase-seq	1
cell line	M059J	RAMPAGE	1
cell line	M059J	genotyping array	1
cell line	M059J	total RNA-seq	1
cell line	RWPE1	ChIA-PET	2
cell line	RWPE1	DNase-seq	1
cell line	RWPE1	Histone ChIP-seq	1
cell line	RWPE1	TF ChIP-seq	1
cell line	ES-I3	Histone ChIP-seq	4
cell line	GM10248	ChIA-PET	2
cell line	GM10248	DNase-seq	1
cell line	GM10248	TF ChIP-seq	1
cell line	GM12864	DNase-seq	1
cell line	GM12864	Histone ChIP-seq	1
cell line	GM12864	RNA microarray	1
cell line	GM12864	TF ChIP-seq	1
cell line	GM12865	DNase-seq	1
cell line	GM12865	Histone ChIP-seq	1
cell line	GM12865	RNA microarray	1
cell line	GM12865	TF ChIP-seq	1
cell line	H54	TF ChIP-seq	2
cell line	H54	DNase-seq	1
cell line	H54	FAIRE-seq	1
cell line	HFF-Myc	DNase-seq	1
cell line	HFF-Myc	Histone ChIP-seq	1
cell line	HFF-Myc	RNA microarray	1
cell line	HFF-Myc	TF ChIP-seq	1
cell line	HT-29	DNase-seq	1
cell line	HT-29	RAMPAGE	1
cell line	HT-29	small RNA-seq	1
cell line	HT-29	total RNA-seq	1
cell line	HTR-8/SVneo	DNase-seq	1
cell line	HTR-8/SVneo	FAIRE-seq	1
cell line	HTR-8/SVneo	RRBS	1
cell line	HTR-8/SVneo	genotyping array	1
cell line	KOPT-K1	Histone ChIP-seq	4
cell line	LHCN-M2	DNase-seq	1
cell line	LHCN-M2	RAMPAGE	1
cell line	LHCN-M2	polyA plus RNA-seq	1
cell line	LHCN-M2	total RNA-seq	1
cell line	LNCAP	Repli-seq	2
cell line	LNCAP	ChIA-PET	1
cell line	LNCAP	TF ChIP-seq	1
cell line	WI38	DNase-seq	1
cell line	WI38	Histone ChIP-seq	1
cell line	WI38	RNA microarray	1
cell line	WI38	TF ChIP-seq	1
cell line	22Rv1	TF ChIP-seq	2
cell line	22Rv1	Histone ChIP-seq	1
cell line	A375	RAMPAGE	1
cell line	A375	small RNA-seq	1
cell line	A375	total RNA-seq	1
cell line	C4-2B	TF ChIP-seq	2
cell line	C4-2B	Histone ChIP-seq	1
cell line	D721Med	DNase-seq	1
cell line	D721Med	FAIRE-seq	1
cell line	D721Med	TF ChIP-seq	1
cell line	OVCAR3	DNAme array	1
cell line	OVCAR3	RRBS	1
cell line	OVCAR3	genotyping array	1
cell line	urothelium cell line	DNase-seq	1
cell line	urothelium cell line	FAIRE-seq	1
cell line	urothelium cell line	RNA microarray	1
cell line	1182-4H	polyA plus RNA-seq	1
cell line	1182-4H	total RNA-seq	1
cell line	416B	DNase-seq	1
cell line	416B	polyA plus RNA-seq	1
cell line	A20	DNase-seq	1
cell line	A20	polyA plus RNA-seq	1
cell line	ACHN	DNase-seq	1
cell line	ACHN	Hi-C	1
cell line	AG08395	DNase-seq	1
cell line	AG08395	RNA microarray	1
cell line	AG08396	DNase-seq	1
cell line	AG08396	RNA microarray	1
cell line	AG20443	DNase-seq	1
cell line	AG20443	RNA microarray	1
cell line	C3H10T1/2	polyA plus RNA-seq	2
cell line	CME-L1	polyA plus RNA-seq	1
cell line	CME-L1	total RNA-seq	1
cell line	CME-W2	polyA plus RNA-seq	1
cell line	CME-W2	total RNA-seq	1
cell line	COLO829	DNase-seq	1
cell line	COLO829	RNA microarray	1
cell line	CWRU1	DNase-seq	1
cell line	CWRU1	RNA microarray	1
cell line	G1E-ER4	TF ChIP-seq	1
cell line	G1E-ER4	polyA plus RNA-seq	1
cell line	GM03348	DNase-seq	2
cell line	GM08714	Histone ChIP-seq	1
cell line	GM08714	TF ChIP-seq	1
cell line	GM10266	DNase-seq	1
cell line	GM10266	TF ChIP-seq	1
cell line	GM12875	Histone ChIP-seq	1
cell line	GM12875	TF ChIP-seq	1
cell line	GM13976	DNase-seq	1
cell line	GM13976	TF ChIP-seq	1
cell line	GM13977	DNase-seq	1
cell line	GM13977	TF ChIP-seq	1
cell line	GM18505	ATAC-seq	1
cell line	GM18505	TF ChIP-seq	1
cell line	GM18507	DNase-seq	1
cell line	GM18507	FAIRE-seq	1
cell line	GM2	polyA plus RNA-seq	1
cell line	GM2	total RNA-seq	1
cell line	GM20000	DNase-seq	1
cell line	GM20000	TF ChIP-seq	1
cell line	GM20431	Hi-C	2
cell line	HGPS cell	DNAme array	1
cell line	HGPS cell	RRBS	1
cell line	HuH-7	DNase-seq	1
cell line	HuH-7	RNA microarray	1
cell line	HuH-7.5	DNase-seq	1
cell line	HuH-7.5	RNA microarray	1
cell line	KBM-7	DNase-seq	1
cell line	KBM-7	Hi-C	1
cell line	ML-DmBG1-c1	polyA plus RNA-seq	1
cell line	ML-DmBG1-c1	total RNA-seq	1
cell line	ML-DmBG2-c2	polyA plus RNA-seq	1
cell line	ML-DmBG2-c2	total RNA-seq	1
cell line	ML-DmD11	polyA plus RNA-seq	1
cell line	ML-DmD11	total RNA-seq	1
cell line	ML-DmD16-c3	polyA plus RNA-seq	1
cell line	ML-DmD16-c3	total RNA-seq	1
cell line	ML-DmD20-c5	polyA plus RNA-seq	1
cell line	ML-DmD20-c5	total RNA-seq	1
cell line	ML-DmD21	polyA plus RNA-seq	1
cell line	ML-DmD21	total RNA-seq	1
cell line	ML-DmD32	polyA plus RNA-seq	1
cell line	ML-DmD32	total RNA-seq	1
cell line	ML-DmD4-c1	polyA plus RNA-seq	1
cell line	ML-DmD4-c1	total RNA-seq	1
cell line	ML-DmD8	polyA plus RNA-seq	1
cell line	ML-DmD8	total RNA-seq	1
cell line	ML-DmD9	polyA plus RNA-seq	1
cell line	ML-DmD9	total RNA-seq	1
cell line	NIH3T3	DNase-seq	1
cell line	NIH3T3	polyA plus RNA-seq	1
cell line	RCC 7860	DNase-seq	1
cell line	RCC 7860	FAIRE-seq	1
cell line	S1	polyA plus RNA-seq	1
cell line	S1	total RNA-seq	1
cell line	S3	polyA plus RNA-seq	1
cell line	S3	total RNA-seq	1
cell line	SH-SY5Y	TF ChIP-seq	2
cell line	Sg4	polyA plus RNA-seq	1
cell line	Sg4	total RNA-seq	1
cell line	UCH-1	RNA microarray	1
cell line	UCH-1	RRBS	1
cell line	VCaP	Histone ChIP-seq	1
cell line	VCaP	TF ChIP-seq	1
cell line	hTERT-HM	RRBS	1
cell line	hTERT-HM	genotyping array	1
cell line	iPS-18c	Histone ChIP-seq	2
cell line	iPS-NIHi11	DNase-seq	1
cell line	iPS-NIHi11	RNA microarray	1
cell line	iPS-NIHi7	DNase-seq	1
cell line	iPS-NIHi7	RNA microarray	1
cell line	mbn2	polyA plus RNA-seq	1
cell line	mbn2	total RNA-seq	1
cell line	mouse embryonic stem cell	Hi-C	2
cell line	3134	DNase-seq	1
cell line	3T3-L1	DNase-seq	1
cell line	46C	Repli-chip	1
cell line	8988T	DNase-seq	1
cell line	A204.1	FAIRE-seq	1
cell line	AG08470	RRBS	1
cell line	ARPE-19	ChIA-PET	1
cell line	BG01	Repli-chip	1
cell line	C0202	Repli-chip	1
cell line	C803	DNase-seq	1
cell line	CH12F3	Hi-C	1
cell line	CyT49	Repli-chip	1
cell line	D341Med	DNase-seq	1
cell line	DLD1	Hi-C	1
cell line	DU 145	ChIA-PET	1
cell line	EH	DNase-seq	1
cell line	EL	DNase-seq	1
cell line	ELF-1	DNase-seq	1
cell line	ELR	DNase-seq	1
cell line	ES-CJ7	DNase-seq	1
cell line	ES-D3	Repli-chip	1
cell line	G401.6	FAIRE-seq	1
cell line	GM04503	DNase-seq	1
cell line	GM04504	DNase-seq	1
cell line	GM06999	Repli-chip	1
cell line	GM10847	TF ChIP-seq	1
cell line	GM12866	Histone ChIP-seq	1
cell line	GM12872	TF ChIP-seq	1
cell line	GM12873	TF ChIP-seq	1
cell line	GM12874	TF ChIP-seq	1
cell line	GM15510	TF ChIP-seq	1
cell line	GM18498	ATAC-seq	1
cell line	GM18499	ATAC-seq	1
cell line	GM18502	ATAC-seq	1
cell line	GM18508	ATAC-seq	1
cell line	GM18511	ATAC-seq	1
cell line	GM18517	ATAC-seq	1
cell line	GM18519	ATAC-seq	1
cell line	GM18520	ATAC-seq	1
cell line	GM18526	TF ChIP-seq	1
cell line	GM18858	ATAC-seq	1
cell line	GM18861	ATAC-seq	1
cell line	GM18867	ATAC-seq	1
cell line	GM18868	ATAC-seq	1
cell line	GM18870	ATAC-seq	1
cell line	GM18873	ATAC-seq	1
cell line	GM18907	ATAC-seq	1
cell line	GM18909	ATAC-seq	1
cell line	GM18951	TF ChIP-seq	1
cell line	GM19023	ATAC-seq	1
cell line	GM19025	ATAC-seq	1
cell line	GM19035	ATAC-seq	1
cell line	GM19043	ATAC-seq	1
cell line	GM19099	TF ChIP-seq	1
cell line	GM19193	TF ChIP-seq	1
cell line	GM19324	ATAC-seq	1
cell line	GM19328	ATAC-seq	1
cell line	GM19351	ATAC-seq	1
cell line	GM19372	ATAC-seq	1
cell line	GM19395	ATAC-seq	1
cell line	GM19397	ATAC-seq	1
cell line	GM19438	ATAC-seq	1
cell line	GM19452	ATAC-seq	1
cell line	GM19455	ATAC-seq	1
cell line	GM19463	ATAC-seq	1
cell line	GM19467	ATAC-seq	1
cell line	GM19468	ATAC-seq	1
cell line	GM21360	ATAC-seq	1
cell line	GM21367	ATAC-seq	1
cell line	GM21381	ATAC-seq	1
cell line	GM21390	ATAC-seq	1
cell line	GM21423	ATAC-seq	1
cell line	GM21447	ATAC-seq	1
cell line	GM21515	ATAC-seq	1
cell line	GM21526	ATAC-seq	1
cell line	GM21528	ATAC-seq	1
cell line	GM21529	ATAC-seq	1
cell line	GM21576	ATAC-seq	1
cell line	GM21619	ATAC-seq	1
cell line	GM21717	ATAC-seq	1
cell line	GM21723	ATAC-seq	1
cell line	GM21737	ATAC-seq	1
cell line	GM21786	ATAC-seq	1
cell line	GM21825	ATAC-seq	1
cell line	HCEC 1CT	DNase-seq	1
cell line	HG02571	ATAC-seq	1
cell line	HG02588	ATAC-seq	1
cell line	HG02610	ATAC-seq	1
cell line	HG02623	ATAC-seq	1
cell line	HG02642	ATAC-seq	1
cell line	HG02678	ATAC-seq	1
cell line	HG02759	ATAC-seq	1
cell line	HG02763	ATAC-seq	1
cell line	HG02798	ATAC-seq	1
cell line	HG02840	ATAC-seq	1
cell line	HG02852	ATAC-seq	1
cell line	HG02870	ATAC-seq	1
cell line	HG02884	ATAC-seq	1
cell line	HG02885	ATAC-seq	1
cell line	HG02938	ATAC-seq	1
cell line	HG02943	ATAC-seq	1
cell line	HG02970	ATAC-seq	1
cell line	HG02973	ATAC-seq	1
cell line	HG02981	ATAC-seq	1
cell line	HG03025	ATAC-seq	1
cell line	HG03039	ATAC-seq	1
cell line	HG03045	ATAC-seq	1
cell line	HG03060	ATAC-seq	1
cell line	HG03064	ATAC-seq	1
cell line	HG03066	ATAC-seq	1
cell line	HG03095	ATAC-seq	1
cell line	HG03097	ATAC-seq	1
cell line	HG03103	ATAC-seq	1
cell line	HG03108	ATAC-seq	1
cell line	HG03135	ATAC-seq	1
cell line	HG03139	ATAC-seq	1
cell line	HG03159	ATAC-seq	1
cell line	HG03175	ATAC-seq	1
cell line	HG03196	ATAC-seq	1
cell line	HG03280	ATAC-seq	1
cell line	HG03342	ATAC-seq	1
cell line	HG03354	ATAC-seq	1
cell line	HG03378	ATAC-seq	1
cell line	HG03432	ATAC-seq	1
cell line	HG03439	ATAC-seq	1
cell line	HG03442	ATAC-seq	1
cell line	HG03457	ATAC-seq	1
cell line	HG03460	ATAC-seq	1
cell line	HG03469	ATAC-seq	1
cell line	HG03520	ATAC-seq	1
cell line	HG03521	ATAC-seq	1
cell line	HG03558	ATAC-seq	1
cell line	HG03565	ATAC-seq	1
cell line	HG03571	ATAC-seq	1
cell line	HG03575	ATAC-seq	1
cell line	HK-2	DNase-seq	1
cell line	HPDE6-E6E7	DNase-seq	1
cell line	HS-27A	DNase-seq	1
cell line	HS-5	DNase-seq	1
cell line	HT-1197	ChIA-PET	1
cell line	HT-1376	ChIA-PET	1
cell line	J185a	Repli-chip	1
cell line	K1	ChIA-PET	1
cell line	KU-19-19	ChIA-PET	1
cell line	L-1210 cell	Repli-chip	1
cell line	L1-S8	DNase-seq	1
cell line	L1-S8R	DNase-seq	1
cell line	LoVo	DNase-seq	1
cell line	MEL-GATA-1-ER	DNase-seq	1
cell line	ML-DmD20-c2	total RNA-seq	1
cell line	MN1	DNase-seq	1
cell line	MSLCL	ChIA-PET	1
cell line	MSiPS	ChIA-PET	1
cell line	Mel-2183	RNA microarray	1
cell line	NAMALWA	DNase-seq	1
cell line	NC-NC	Repli-chip	1
cell line	NCI-H1437	ChIA-PET	1
cell line	NCI-H226	DNase-seq	1
cell line	OSC	polyA plus RNA-seq	1
cell line	OSS	polyA plus RNA-seq	1
cell line	R1	DNase-seq	1
cell line	RCC	DNase-seq	1
cell line	RKO	DNase-seq	1
cell line	RPMI8226	DNase-seq	1
cell line	Raji	TF ChIP-seq	1
cell line	SU-DHL-2	ChIA-PET	1
cell line	SU-DHL-4	ChIA-PET	1
cell line	SW480	DNase-seq	1
cell line	THP-1	Hi-C	1
cell line	TT2	Repli-chip	1
cell line	TTC549	FAIRE-seq	1
cell line	WW6	DNase-seq	1
cell line	ZHBTc4	DNase-seq	1
cell line	fGS/OSS	polyA plus RNA-seq	1
cell line	hFib2-iPS4	Repli-chip	1
cell line	hTERT RPE-1	Hi-C	1
cell line	hTERT-HME1	ChIA-PET	1
cell line	iPS DF 19.7	DNase-seq	1
cell line	iPS DF 4.7	DNase-seq	1
cell line	iPS-11a	Histone ChIP-seq	1
cell line	iPS-5	Repli-chip	1
primary cell	T-cell	DNase-seq	51
primary cell	T-cell	Mint-ChIP-seq	12
primary cell	T-cell	Histone ChIP-seq	11
primary cell	T-cell	ATAC-seq	4
primary cell	T-cell	total RNA-seq	3
primary cell	T-cell	Repli-chip	1
primary cell	T-cell	WGBS	1
primary cell	T-cell	polyA plus RNA-seq	1
primary cell	macrophage	total RNA-seq	78
primary cell	macrophage	polyA plus RNA-seq	1
primary cell	CD4-positive, alpha-beta memory T cell	Mint-ChIP-seq	44
primary cell	CD4-positive, alpha-beta memory T cell	Histone ChIP-seq	15
primary cell	CD4-positive, alpha-beta memory T cell	microRNA-seq	2
primary cell	CD4-positive, alpha-beta memory T cell	total RNA-seq	2
primary cell	CD4-positive, alpha-beta memory T cell	DNase-seq	1
primary cell	CD14-positive monocyte	Mint-ChIP-seq	28
primary cell	CD14-positive monocyte	Histone ChIP-seq	21
primary cell	CD14-positive monocyte	DNase-seq	7
primary cell	CD14-positive monocyte	polyA plus RNA-seq	2
primary cell	CD14-positive monocyte	CAGE	1
primary cell	CD14-positive monocyte	TF ChIP-seq	1
primary cell	CD14-positive monocyte	WGBS	1
primary cell	CD14-positive monocyte	polyA minus RNA-seq	1
primary cell	CD14-positive monocyte	small RNA-seq	1
primary cell	endothelial cell of umbilical vein	Histone ChIP-seq	16
primary cell	endothelial cell of umbilical vein	TF ChIP-seq	13
primary cell	endothelial cell of umbilical vein	Repli-seq	6
primary cell	endothelial cell of umbilical vein	CAGE	5
primary cell	endothelial cell of umbilical vein	polyA plus RNA-seq	5
primary cell	endothelial cell of umbilical vein	polyA minus RNA-seq	3
primary cell	endothelial cell of umbilical vein	ChIA-PET	2
primary cell	endothelial cell of umbilical vein	DNase-seq	2
primary cell	endothelial cell of umbilical vein	Hi-C	2
primary cell	endothelial cell of umbilical vein	RNA-PET	2
primary cell	endothelial cell of umbilical vein	DNAme array	1
primary cell	endothelial cell of umbilical vein	FAIRE-seq	1
primary cell	endothelial cell of umbilical vein	RNA microarray	1
primary cell	endothelial cell of umbilical vein	genotyping array	1
primary cell	endothelial cell of umbilical vein	microRNA counts	1
primary cell	endothelial cell of umbilical vein	small RNA-seq	1
primary cell	naive thymus-derived CD4-positive, alpha-beta T cell	Mint-ChIP-seq	33
primary cell	naive thymus-derived CD4-positive, alpha-beta T cell	Histone ChIP-seq	16
primary cell	naive thymus-derived CD4-positive, alpha-beta T cell	DNase-seq	4
primary cell	naive thymus-derived CD4-positive, alpha-beta T cell	polyA plus RNA-seq	2
primary cell	naive thymus-derived CD4-positive, alpha-beta T cell	microRNA-seq	1
primary cell	keratinocyte	Histone ChIP-seq	16
primary cell	keratinocyte	Repli-seq	6
primary cell	keratinocyte	CAGE	5
primary cell	keratinocyte	RNA microarray	5
primary cell	keratinocyte	polyA plus RNA-seq	5
primary cell	keratinocyte	TF ChIP-seq	4
primary cell	keratinocyte	polyA minus RNA-seq	3
primary cell	keratinocyte	small RNA-seq	3
primary cell	keratinocyte	DNase-seq	2
primary cell	keratinocyte	Hi-C	2
primary cell	keratinocyte	RNA-PET	2
primary cell	keratinocyte	FAIRE-seq	1
primary cell	common myeloid progenitor, CD34-positive	Histone ChIP-seq	33
primary cell	common myeloid progenitor, CD34-positive	DNase-seq	12
primary cell	common myeloid progenitor, CD34-positive	WGBS	1
primary cell	common myeloid progenitor, CD34-positive	polyA plus RNA-seq	1
primary cell	B cell	Histone ChIP-seq	25
primary cell	B cell	DNase-seq	7
primary cell	B cell	Mint-ChIP-seq	4
primary cell	B cell	polyA plus RNA-seq	3
primary cell	B cell	TF ChIP-seq	2
primary cell	B cell	ATAC-seq	1
primary cell	B cell	CAGE	1
primary cell	B cell	WGBS	1
primary cell	B cell	polyA minus RNA-seq	1
primary cell	B cell	small RNA-seq	1
primary cell	CD8-positive, alpha-beta memory T cell	Mint-ChIP-seq	35
primary cell	CD8-positive, alpha-beta memory T cell	Histone ChIP-seq	6
primary cell	CD8-positive, alpha-beta memory T cell	DNase-seq	3
primary cell	CD8-positive, alpha-beta memory T cell	total RNA-seq	2
primary cell	mammary epithelial cell	Histone ChIP-seq	19
primary cell	mammary epithelial cell	DNAme array	3
primary cell	mammary epithelial cell	Hi-C	3
primary cell	mammary epithelial cell	TF ChIP-seq	3
primary cell	mammary epithelial cell	DNase-seq	2
primary cell	mammary epithelial cell	genotyping array	2
primary cell	mammary epithelial cell	microRNA-seq	2
primary cell	mammary epithelial cell	polyA plus RNA-seq	2
primary cell	mammary epithelial cell	CAGE	1
primary cell	mammary epithelial cell	RNA microarray	1
primary cell	mammary epithelial cell	RRBS	1
primary cell	mammary epithelial cell	WGBS	1
primary cell	mammary epithelial cell	polyA minus RNA-seq	1
primary cell	mammary epithelial cell	small RNA-seq	1
primary cell	mammary epithelial cell	total RNA-seq	1
primary cell	CD8-positive, alpha-beta T cell	Histone ChIP-seq	18
primary cell	CD8-positive, alpha-beta T cell	DNase-seq	6
primary cell	CD8-positive, alpha-beta T cell	Mint-ChIP-seq	6
primary cell	CD8-positive, alpha-beta T cell	polyA plus RNA-seq	2
primary cell	CD8-positive, alpha-beta T cell	total RNA-seq	2
primary cell	CD8-positive, alpha-beta T cell	ATAC-seq	1
primary cell	CD8-positive, alpha-beta T cell	microRNA-seq	1
primary cell	neurosphere	Histone ChIP-seq	25
primary cell	neurosphere	microRNA-seq	8
primary cell	neurosphere	polyA plus RNA-seq	3
primary cell	CD4-positive, alpha-beta T cell	DNase-seq	12
primary cell	CD4-positive, alpha-beta T cell	Histone ChIP-seq	12
primary cell	CD4-positive, alpha-beta T cell	Mint-ChIP-seq	6
